set;id;numero;nome;url;pagina;status;erro;problema_local
smp;smp-SM04;SM04;Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_004_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/4;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_004_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
smp;smp-SM108;SM108;Ash's Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_108_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/108;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_108_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
smp;smp-SM109;SM109;Ash's Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_109_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/109;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_109_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
smp;smp-SM110;SM110;Ash's Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_110_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/110;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_110_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
smp;smp-SM111;SM111;Ash's Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_111_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/111;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_111_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
smp;smp-SM112;SM112;Ash's Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_112_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/112;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_112_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
smp;smp-SM113;SM113;Ash's Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_113_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/113;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_113_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
smp;smp-SM114;SM114;Ash's Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_114_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/114;erro;403 Client Error: Forbidden for url: https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_114_R_PT_LG.png;"high: arquivo ausente; low: arquivo ausente"
