set;id;numero;nome;url;pagina;status;erro
smp;smp-SM126;SM126;Ultra Necrozma GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_126_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/126;baixado;
smp;smp-SM127;SM127;Sandslash de Alola;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_127_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/127;baixado;
smp;smp-SM128;SM128;Ninetales de Alola;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_128_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/128;baixado;
smp;smp-SM129;SM129;Kyogre;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_129_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/129;baixado;
smp;smp-SM13;SM13;Oranguru;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_013_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/13;baixado;
smp;smp-SM130;SM130;Manectric;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_130_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/130;baixado;
smp;smp-SM131;SM131;Celesteela;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_131_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/131;baixado;
smp;smp-SM132;SM132;Delcatty;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_132_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/132;baixado;
smp;smp-SM133;SM133;Thundurus GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_133_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/133;baixado;
smp;smp-SM134;SM134;Tornadus GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_134_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/134;baixado;
smp;smp-SM135;SM135;Latias;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_135_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/135;baixado;
smp;smp-SM136;SM136;Latios;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_136_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/136;baixado;
smp;smp-SM137;SM137;Reshiram GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_137_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/137;baixado;
smp;smp-SM138;SM138;Zekrom GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_138_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/138;baixado;
smp;smp-SM139;SM139;Salamence GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_139_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/139;baixado;
smp;smp-SM14;SM14;Lycanroc GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_014_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/14;baixado;
