set;id;numero;nome;url;pagina;status;erro
swshp;swshp-SWSH024;SWSH024;Coalossal;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_024_R_PT.png;https://limitlesstcg.com/cards/pt/SP/24;baixado;
swshp;swshp-SWSH025;SWSH025;Garbodor;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_025_R_PT.png;https://limitlesstcg.com/cards/pt/SP/25;baixado;
swshp;swshp-SWSH026;SWSH026;Mantine;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_026_R_PT.png;https://limitlesstcg.com/cards/pt/SP/26;baixado;
swshp;swshp-SWSH027;SWSH027;Noctowl;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_027_R_PT.png;https://limitlesstcg.com/cards/pt/SP/27;baixado;
swshp;swshp-SWSH028;SWSH028;Duraludon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_028_R_PT.png;https://limitlesstcg.com/cards/pt/SP/28;baixado;
swshp;swshp-SWSH029;SWSH029;Rayquaza;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_029_R_PT.png;https://limitlesstcg.com/cards/pt/SP/29;baixado;
swshp;swshp-SWSH030;SWSH030;Copperajah V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_030_R_PT.png;https://limitlesstcg.com/cards/pt/SP/30;baixado;
swshp;swshp-SWSH031;SWSH031;Morpeko;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_031_R_PT.png;https://limitlesstcg.com/cards/pt/SP/31;baixado;
swshp;swshp-SWSH032;SWSH032;Snorlax;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_032_R_PT.png;https://limitlesstcg.com/cards/pt/SP/32;ja_existia;
swshp;swshp-SWSH033;SWSH033;Zacian;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_033_R_PT.png;https://limitlesstcg.com/cards/pt/SP/33;ja_existia;
swshp;swshp-SWSH034;SWSH034;Zamazenta;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_034_R_PT.png;https://limitlesstcg.com/cards/pt/SP/34;ja_existia;
swshp;swshp-SWSH035;SWSH035;Decidueye;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_035_R_PT.png;https://limitlesstcg.com/cards/pt/SP/35;ja_existia;
swshp;swshp-SWSH036;SWSH036;Arctozolt;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_036_R_PT.png;https://limitlesstcg.com/cards/pt/SP/36;ja_existia;
swshp;swshp-SWSH037;SWSH037;Hydreigon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_037_R_PT.png;https://limitlesstcg.com/cards/pt/SP/37;ja_existia;
swshp;swshp-SWSH038;SWSH038;Kangaskhan;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_038_R_PT.png;https://limitlesstcg.com/cards/pt/SP/38;ja_existia;
swshp;swshp-SWSH039;SWSH039;Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_039_R_PT.png;https://limitlesstcg.com/cards/pt/SP/39;ja_existia;
swshp;swshp-SWSH040;SWSH040;Hatenna;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_040_R_PT.png;https://limitlesstcg.com/cards/pt/SP/40;ja_existia;
swshp;swshp-SWSH041;SWSH041;Flareon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_041_R_PT.png;https://limitlesstcg.com/cards/pt/SP/41;ja_existia;
swshp;swshp-SWSH042;SWSH042;Eevee;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_042_R_PT.png;https://limitlesstcg.com/cards/pt/SP/42;ja_existia;
swshp;swshp-SWSH043;SWSH043;Sirfetch'd de Galar V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_043_R_PT.png;https://limitlesstcg.com/cards/pt/SP/43;ja_existia;
swshp;swshp-SWSH044;SWSH044;Eternatus V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_044_R_PT.png;https://limitlesstcg.com/cards/pt/SP/44;ja_existia;
swshp;swshp-SWSH045;SWSH045;Eternatus VMAX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_045_R_PT.png;https://limitlesstcg.com/cards/pt/SP/45;ja_existia;
swshp;swshp-SWSH046;SWSH046;Eldegoss;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_046_R_PT.png;https://limitlesstcg.com/cards/pt/SP/46;ja_existia;
swshp;swshp-SWSH047;SWSH047;Drednaw;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_047_R_PT.png;https://limitlesstcg.com/cards/pt/SP/47;ja_existia;
swshp;swshp-SWSH048;SWSH048;Centiskorch;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_048_R_PT.png;https://limitlesstcg.com/cards/pt/SP/48;ja_existia;
swshp;swshp-SWSH049;SWSH049;Dubwool V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_049_R_PT.png;https://limitlesstcg.com/cards/pt/SP/49;ja_existia;
swshp;swshp-SWSH050;SWSH050;Charizard V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_050_R_PT.png;https://limitlesstcg.com/cards/pt/SP/50;ja_existia;
swshp;swshp-SWSH051;SWSH051;Lapras;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_051_R_PT.png;https://limitlesstcg.com/cards/pt/SP/51;ja_existia;
swshp;swshp-SWSH052;SWSH052;Gengar;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_052_R_PT.png;https://limitlesstcg.com/cards/pt/SP/52;ja_existia;
swshp;swshp-SWSH053;SWSH053;Machamp;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_053_R_PT.png;https://limitlesstcg.com/cards/pt/SP/53;ja_existia;
swshp;swshp-SWSH054;SWSH054;Coalossal;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_054_R_PT.png;https://limitlesstcg.com/cards/pt/SP/54;ja_existia;
swshp;swshp-SWSH055;SWSH055;Hatterene V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_055_R_PT.png;https://limitlesstcg.com/cards/pt/SP/55;ja_existia;
swshp;swshp-SWSH056;SWSH056;Morpeko V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_056_R_PT.png;https://limitlesstcg.com/cards/pt/SP/56;ja_existia;
swshp;swshp-SWSH057;SWSH057;Grimmsnarl V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_057_R_PT.png;https://limitlesstcg.com/cards/pt/SP/57;ja_existia;
swshp;swshp-SWSH058;SWSH058;Alcremie;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_058_R_PT.png;https://limitlesstcg.com/cards/pt/SP/58;ja_existia;
swshp;swshp-SWSH059;SWSH059;Obstagoon de Galar;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_059_R_PT.png;https://limitlesstcg.com/cards/pt/SP/59;ja_existia;
swshp;swshp-SWSH060;SWSH060;Duraludon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_060_R_PT.png;https://limitlesstcg.com/cards/pt/SP/60;ja_existia;
